source	target
207	489
207	511
207	536
207	852
207	1690
176	290
176	282
176	388
176	600
176	666
176	752
176	939
176	1132
176	1173
176	1193
176	1637
176	1852
176	2360
125	283
125	159
125	1062
125	1109
215	111
215	116
215	940
109	160
109	161
109	316
109	470
109	1119
160	161
160	167
155	195
155	233
155	281
155	448
155	1528
111	349
112	157
112	525
157	354
157	843
157	1006
157	1413
157	1872
157	1899
113	268
113	972
114	288
114	419
114	421
114	523
114	904
114	921
114	1295
115	272
115	878
116	615
117	411
117	2006
411	128
411	513
411	567
411	650
411	676
411	725
411	743
411	1555
414	225
414	375
414	377
414	380
414	398
414	422
414	438
414	447
414	1238
414	1708
235	472
895	939
895	2069
1065	1101
1065	1181
1065	1208
122	656
122	1412
123	307
123	151
123	300
123	347
123	566
123	641
123	1513
307	175
307	347
307	395
307	566
283	225
283	372
126	172
126	170
172	181
172	219
172	308
172	671
172	863
172	884
172	944
172	1548
170	299
170	255
170	1378
170	1403
170	1548
127	128
127	613
127	879
127	1335
127	1524
127	1607
127	1847
128	139
128	477
128	1453
139	530
139	1024
139	1697
129	253
129	520
129	1465
253	180
253	335
253	397
253	484
253	591
253	1068
132	322
132	281
132	265
132	499
132	530
132	730
132	1640
322	143
322	265
322	340
281	844
281	1068
135	1280
175	165
175	219
175	339
175	340
175	390
175	906
175	1165
175	1195
175	1319
143	419
143	694
163	151
163	302
163	468
163	985
163	1051
163	1760
138	239
138	576
138	1232
138	1314
138	1483
138	1768
138	1888
141	239
141	813
141	993
141	1439
141	1483
239	456
239	970
239	993
144	266
144	362
144	2022
144	2090
266	362
266	490
266	589
266	862
266	1003
266	1617
145	674
145	361
145	1352
147	410
147	417
147	582
147	1050
147	1063
147	1556
148	197
148	211
148	250
148	284
148	336
148	356
148	453
148	721
148	1069
148	1109
149	226
149	194
226	1329
150	184
150	582
151	302
151	1444
151	1471
151	1536
339	313
339	219
339	1376
153	312
153	412
153	432
153	548
153	774
153	1296
312	177
156	373
156	1646
156	345
156	516
156	968
156	1275
156	1370
373	838
373	957
1646	779
1646	1589
1646	1749
1646	1744
1646	2345
158	580
158	620
158	693
158	697
158	709
158	1115
158	1176
158	1206
158	1470
159	1005
159	1693
159	1694
161	167
161	385
161	544
161	559
161	922
161	928
162	1345
162	1572
224	188
224	227
224	781
224	1037
224	1612
165	360
165	481
165	524
165	535
165	2022
221	213
221	220
221	273
221	311
221	341
221	439
221	701
221	1713
167	379
167	410
167	551
167	618
167	690
167	1119
167	1148
167	1218
168	262
168	636
168	924
168	1227
168	1620
168	1738
168	1740
168	1786
262	194
262	1579
262	636
262	276
262	531
262	596
262	1001
262	1052
169	1140
299	908
299	1378
299	1384
203	1271
203	1822
173	236
173	864
219	187
219	381
219	1047
290	737
177	365
177	1976
178	202
178	1707
252	209
252	237
180	181
180	331
180	2072
181	308
181	871
181	1047
181	1198
181	1200
183	1505
183	1574
184	590
185	186
185	634
185	964
185	1387
185	1401
186	634
186	955
186	1213
187	366
187	382
187	972
188	343
188	770
188	799
188	974
188	1331
188	1969
256	445
256	471
256	491
256	693
256	718
256	1104
911	670
911	1584
911	654
911	1211
911	1404
911	1524
190	249
190	446
190	512
190	648
191	420
191	1954
192	420
196	1187
196	717
196	777
1187	985
1187	1162
1187	1556
198	358
200	247
200	1131
200	1274
200	1730
247	280
205	1846
270	297
270	1051
270	1062
208	236
208	360
208	903
208	924
209	237
209	1026
209	1144
210	337
210	353
210	533
210	539
210	940
337	434
337	612
337	934
211	482
211	557
213	250
213	935
213	1210
218	233
218	1094
233	1130
220	273
220	439
220	1210
273	889
273	918
225	227
225	473
225	485
225	793
225	1209
225	1282
225	1478
225	1860
236	407
236	428
236	682
240	353
240	557
244	1658
245	1559
248	278
248	399
248	459
278	1771
251	484
251	573
251	1301
251	1363
255	545
255	973
255	1336
258	341
258	389
258	453
258	526
258	733
258	1594
258	1985
258	2178
261	1100
261	1766
1579	1284
1579	1482
1579	1925
636	1025
263	317
263	686
263	843
263	933
265	818
265	1613
265	1639
271	272
272	946
272	963
276	596
276	1001
277	1771
277	1805
1771	1183
1805	894
1805	1876
279	2062
280	715
280	760
280	917
280	1349
280	1429
